Logging to results/training_logs/raw_runs/train_sft_raw_20260511_174855.log
{"batch_size": 4, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 4, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 2e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "gpt2", "output_dir": "models/sft", "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 114/2656 | loss 2.4858
train_step epoch 0 | step 115/2656 | loss 2.6886
train_step epoch 0 | step 116/2656 | loss 2.4798
train_step epoch 0 | step 117/2656 | loss 2.7548
train_step epoch 0 | step 118/2656 | loss 2.6096
train_step epoch 0 | step 119/2656 | loss 2.6049
train_step epoch 0 | step 120/2656 | loss 2.7366
train_step epoch 0 | step 121/2656 | loss 2.6893
train_step epoch 0 | step 122/2656 | loss 2.7519
train_step epoch 0 | step 123/2656 | loss 2.5386
train_step epoch 0 | step 124/2656 | loss 2.4166
train_step epoch 0 | step 125/2656 | loss 2.5788
train_step epoch 0 | step 126/2656 | loss 2.3955
train_step epoch 0 | step 127/2656 | loss 2.5311
train_step epoch 0 | step 128/2656 | loss 2.5498
train_step epoch 0 | step 129/2656 | loss 2.1292
train_step epoch 0 | step 130/2656 | loss 2.2366
train_step epoch 0 | step 131/2656 | loss 2.4062
train_step epoch 0 | step 132/2656 | loss 2.3625
train_step epoch 0 | step 133/2656 | loss 2.6326
train_step epoch 0 | step 134/2656 | loss 2.3450
train_step epoch 0 | step 135/2656 | loss 2.5211
train_step epoch 0 | step 136/2656 | loss 2.4712
train_step epoch 0 | step 137/2656 | loss 2.5153
train_step epoch 0 | step 138/2656 | loss 2.4999
train_step epoch 0 | step 139/2656 | loss 2.2775
train_step epoch 0 | step 140/2656 | loss 2.2974
train_step epoch 0 | step 141/2656 | loss 2.4703
train_step epoch 0 | step 142/2656 | loss 2.6191
train_step epoch 0 | step 143/2656 | loss 2.3408
train_step epoch 0 | step 144/2656 | loss 2.5129
train_step epoch 0 | step 145/2656 | loss 2.6476
train_step epoch 0 | step 146/2656 | loss 2.6910
train_step epoch 0 | step 147/2656 | loss 2.5770
train_step epoch 0 | step 148/2656 | loss 2.6128
train_step epoch 0 | step 149/2656 | loss 2.5400
train_step epoch 0 | step 150/2656 | loss 2.3139
train_step epoch 0 | step 151/2656 | loss 2.6395
train_step epoch 0 | step 152/2656 | loss 2.4506
train_step epoch 0 | step 153/2656 | loss 2.4853
train_step epoch 0 | step 154/2656 | loss 2.5596
train_step epoch 0 | step 155/2656 | loss 2.5738
train_step epoch 0 | step 156/2656 | loss 2.5355
train_step epoch 0 | step 157/2656 | loss 2.5030
train_step epoch 0 | step 158/2656 | loss 2.4156
train_step epoch 0 | step 159/2656 | loss 2.6919
train_step epoch 0 | step 160/2656 | loss 2.2433
train_step epoch 0 | step 161/2656 | loss 2.6437
train_step epoch 0 | step 162/2656 | loss 2.3135
train_step epoch 0 | step 163/2656 | loss 2.0788
train_step epoch 0 | step 164/2656 | loss 2.3281
train_step epoch 0 | step 165/2656 | loss 2.7712
train_step epoch 0 | step 166/2656 | loss 2.5124
train_step epoch 0 | step 167/2656 | loss 2.4763
train_step epoch 0 | step 168/2656 | loss 2.4610
train_step epoch 0 | step 169/2656 | loss 2.5544
train_step epoch 0 | step 170/2656 | loss 2.2338
train_step epoch 0 | step 171/2656 | loss 2.4084
train_step epoch 0 | step 172/2656 | loss 2.4574
train_step epoch 0 | step 173/2656 | loss 2.5391
train_step epoch 0 | step 174/2656 | loss 2.2511
train_step epoch 0 | step 175/2656 | loss 2.5000
train_step epoch 0 | step 176/2656 | loss 2.5618
train_step epoch 0 | step 177/2656 | loss 2.0649
train_step epoch 0 | step 178/2656 | loss 2.6398
train_step epoch 0 | step 179/2656 | loss 2.4641
train_step epoch 0 | step 180/2656 | loss 2.2333
train_step epoch 0 | step 181/2656 | loss 2.7049
train_step epoch 0 | step 182/2656 | loss 2.3697
train_step epoch 0 | step 183/2656 | loss 2.7522
train_step epoch 0 | step 184/2656 | loss 2.5080
train_step epoch 0 | step 185/2656 | loss 2.3339
train_step epoch 0 | step 186/2656 | loss 2.2748
train_step epoch 0 | step 187/2656 | loss 2.4800
train_step epoch 0 | step 188/2656 | loss 2.4293
train_step epoch 0 | step 189/2656 | loss 2.6952
train_step epoch 0 | step 190/2656 | loss 2.6202
train_step epoch 0 | step 191/2656 | loss 2.2319
train_step epoch 0 | step 192/2656 | loss 2.5638
train_step epoch 0 | step 193/2656 | loss 2.6642
train_step epoch 0 | step 194/2656 | loss 2.6270
train_step epoch 0 | step 195/2656 | loss 2.4569
train_step epoch 0 | step 196/2656 | loss 2.2593
train_step epoch 0 | step 197/2656 | loss 2.3387
train_step epoch 0 | step 198/2656 | loss 2.7269
train_step epoch 0 | step 199/2656 | loss 2.3535
train_step epoch 0 | step 200/2656 | loss 2.5855
