Logging to results/training_logs/raw_runs/train_dpo_raw_20260511_180032.log
{"batch_size": 2, "beta": 0.1, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 8, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 1e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "/content/drive/MyDrive/CS5788/models/sft", "output_dir": "models/dpo", "ref_model_name": null, "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 77/2656 | loss 0.7012 | reward_margin 0.1139
train_step epoch 0 | step 78/2656 | loss 0.6862 | reward_margin 0.1796
train_step epoch 0 | step 79/2656 | loss 0.7844 | reward_margin -0.1195
train_step epoch 0 | step 80/2656 | loss 0.5479 | reward_margin 0.4616
train_step epoch 0 | step 81/2656 | loss 0.9185 | reward_margin -0.3256
train_step epoch 0 | step 82/2656 | loss 0.5952 | reward_margin 0.3306
train_step epoch 0 | step 83/2656 | loss 0.5882 | reward_margin 0.3143
train_step epoch 0 | step 84/2656 | loss 0.7351 | reward_margin 0.1416
train_step epoch 0 | step 85/2656 | loss 0.7519 | reward_margin 0.0387
train_step epoch 0 | step 86/2656 | loss 0.5949 | reward_margin 0.4689
train_step epoch 0 | step 87/2656 | loss 0.7347 | reward_margin 0.0305
train_step epoch 0 | step 88/2656 | loss 0.5990 | reward_margin 0.3518
train_step epoch 0 | step 89/2656 | loss 0.8026 | reward_margin -0.1260
train_step epoch 0 | step 90/2656 | loss 0.5814 | reward_margin 0.7089
train_step epoch 0 | step 91/2656 | loss 0.6141 | reward_margin 0.2671
train_step epoch 0 | step 92/2656 | loss 0.5588 | reward_margin 0.5032
train_step epoch 0 | step 93/2656 | loss 0.6097 | reward_margin 0.3684
train_step epoch 0 | step 94/2656 | loss 0.5971 | reward_margin 0.2900
train_step epoch 0 | step 95/2656 | loss 0.6112 | reward_margin 0.3589
train_step epoch 0 | step 96/2656 | loss 0.7375 | reward_margin 0.1738
train_step epoch 0 | step 97/2656 | loss 0.6439 | reward_margin 0.2576
train_step epoch 0 | step 98/2656 | loss 0.6986 | reward_margin 0.2468
train_step epoch 0 | step 99/2656 | loss 0.7165 | reward_margin 0.1078
train_step epoch 0 | step 100/2656 | loss 0.7637 | reward_margin -0.0290
train_step epoch 0 | step 101/2656 | loss 0.4819 | reward_margin 0.8412
train_step epoch 0 | step 102/2656 | loss 0.8519 | reward_margin -0.2082
train_step epoch 0 | step 103/2656 | loss 0.6255 | reward_margin 0.5039
train_step epoch 0 | step 104/2656 | loss 0.7173 | reward_margin 0.0454
train_step epoch 0 | step 105/2656 | loss 1.0499 | reward_margin -0.4251
train_step epoch 0 | step 106/2656 | loss 0.7464 | reward_margin 0.1021
train_step epoch 0 | step 107/2656 | loss 0.7674 | reward_margin -0.0900
train_step epoch 0 | step 108/2656 | loss 0.6710 | reward_margin 0.1914
train_step epoch 0 | step 109/2656 | loss 0.7545 | reward_margin 0.0212
train_step epoch 0 | step 110/2656 | loss 0.7465 | reward_margin 0.0415
train_step epoch 0 | step 111/2656 | loss 0.7131 | reward_margin 0.2134
train_step epoch 0 | step 112/2656 | loss 0.6975 | reward_margin 0.1140
train_step epoch 0 | step 113/2656 | loss 0.7956 | reward_margin 0.0478
train_step epoch 0 | step 114/2656 | loss 0.6394 | reward_margin 0.4651
train_step epoch 0 | step 115/2656 | loss 0.6133 | reward_margin 0.2435
train_step epoch 0 | step 116/2656 | loss 0.6001 | reward_margin 0.2914
train_step epoch 0 | step 117/2656 | loss 0.6313 | reward_margin 0.3009
train_step epoch 0 | step 118/2656 | loss 0.7370 | reward_margin 0.1733
train_step epoch 0 | step 119/2656 | loss 0.7686 | reward_margin -0.1003
train_step epoch 0 | step 120/2656 | loss 0.6861 | reward_margin 0.1574
train_step epoch 0 | step 121/2656 | loss 0.6632 | reward_margin 0.1721
train_step epoch 0 | step 122/2656 | loss 0.7489 | reward_margin 0.1224
train_step epoch 0 | step 123/2656 | loss 0.6112 | reward_margin 0.2417
train_step epoch 0 | step 124/2656 | loss 0.7194 | reward_margin 0.2298
train_step epoch 0 | step 125/2656 | loss 0.7264 | reward_margin 0.0354
train_step epoch 0 | step 126/2656 | loss 0.5201 | reward_margin 0.5774
train_step epoch 0 | step 127/2656 | loss 0.7452 | reward_margin 0.0588
train_step epoch 0 | step 128/2656 | loss 0.5393 | reward_margin 0.4788
train_step epoch 0 | step 129/2656 | loss 0.6127 | reward_margin 0.3591
train_step epoch 0 | step 130/2656 | loss 0.5620 | reward_margin 0.4234
train_step epoch 0 | step 131/2656 | loss 0.6880 | reward_margin 0.0984
train_step epoch 0 | step 132/2656 | loss 0.5833 | reward_margin 0.4502
train_step epoch 0 | step 133/2656 | loss 0.6383 | reward_margin 0.1769
train_step epoch 0 | step 134/2656 | loss 0.7003 | reward_margin 0.1337
train_step epoch 0 | step 135/2656 | loss 0.5378 | reward_margin 0.4433
train_step epoch 0 | step 136/2656 | loss 0.6244 | reward_margin 0.3624
train_step epoch 0 | step 137/2656 | loss 0.6128 | reward_margin 0.3078
train_step epoch 0 | step 138/2656 | loss 0.6325 | reward_margin 0.3110
train_step epoch 0 | step 139/2656 | loss 0.6910 | reward_margin 0.1518
train_step epoch 0 | step 140/2656 | loss 0.6881 | reward_margin 0.1224
train_step epoch 0 | step 141/2656 | loss 0.7012 | reward_margin 0.1510
train_step epoch 0 | step 142/2656 | loss 0.6535 | reward_margin 0.2436
train_step epoch 0 | step 143/2656 | loss 0.5981 | reward_margin 0.3555
train_step epoch 0 | step 144/2656 | loss 0.4853 | reward_margin 0.5436
train_step epoch 0 | step 145/2656 | loss 1.0280 | reward_margin -0.4033
train_step epoch 0 | step 146/2656 | loss 0.7067 | reward_margin 0.2883
train_step epoch 0 | step 147/2656 | loss 0.7466 | reward_margin -0.0440
train_step epoch 0 | step 148/2656 | loss 0.4955 | reward_margin 0.7458
train_step epoch 0 | step 149/2656 | loss 0.7312 | reward_margin -0.0295
train_step epoch 0 | step 150/2656 | loss 0.6254 | reward_margin 0.2955
train_step epoch 0 | step 151/2656 | loss 0.6610 | reward_margin 0.2394
train_step epoch 0 | step 152/2656 | loss 0.6714 | reward_margin 0.1410
train_step epoch 0 | step 153/2656 | loss 0.6561 | reward_margin 0.4439
train_step epoch 0 | step 154/2656 | loss 0.7797 | reward_margin -0.0912
train_step epoch 0 | step 155/2656 | loss 0.3257 | reward_margin 1.2897
train_step epoch 0 | step 156/2656 | loss 0.5711 | reward_margin 0.3192
train_step epoch 0 | step 157/2656 | loss 0.6402 | reward_margin 0.1801
